,Number of Medicare Beneficiaries-2012,Total Drug Medicare Payment Amount-2012,Total Medical Medicare Payment Amount-2012,Number of Medicare Beneficiaries-2013,Total Drug Medicare Payment Amount-2013,Total Medical Medicare Payment Amount-2013,Number of Medicare Beneficiaries-2014,Total Drug Medicare Payment Amount-2014,Total Medical Medicare Payment Amount-2014,Number of Medicare Beneficiaries-2015,Total Drug Medicare Payment Amount-2015,Total Medical Medicare Payment Amount-2015,Number of Medicare Beneficiaries-2016,Total Drug Medicare Payment Amount-2016,Total Medical Medicare Payment Amount-2016,Number of Medicare Beneficiaries-2017,Total Drug Medicare Payment Amount-2017,Total Medical Medicare Payment Amount-2017,Number of Medicare Beneficiaries-2018,Total Drug Medicare Payment Amount-2018,Total Medical Medicare Payment Amount-2018
1003015504,470.0,0.0,137707.72,394.0,0.0,122137.29,343.0,0.0,91542.11,300.0,0.0,87725.83,227.0,0.0,44332.19,91.0,0.0,8236.58,,,
1003028580,,,,,,,,,,,,,,,,,,,20.0,0.0,7157.95
1003056516,59.0,0.0,7640.93,75.0,0.0,10341.98,219.0,0.0,27501.77,382.0,0.0,76285.52,471.0,0.0,102250.61,588.0,0.0,130708.9,667.0,0.0,154779.03
1003072786,,,,,,,,,,,,,,,,42.0,1235.58,16085.85,145.0,45919.63,88693.3
1003093774,176.0,,,504.0,8237.08,253829.09,595.0,11760.53,290426.67,,,,,,,,,,,,
1003101874,,,,,,,,,,46.0,0.0,5311.12,125.0,0.0,23646.13,189.0,,,,,
1003808494,902.0,0.0,248670.53,880.0,0.0,221197.72,766.0,0.0,186135.96,788.0,0.0,195211.32,796.0,0.0,195927.67,791.0,0.0,165003.09,788.0,0.0,212829.91
1003816141,1020.0,22552.2,84980.76,1146.0,89915.75,312851.79,903.0,31532.74,418306.78,972.0,9823.85,533567.81,1032.0,9501.42,523900.3,992.0,12351.71,466405.52,1006.0,8269.0,406564.64
1003817776,329.0,0.0,85058.06,345.0,0.0,97719.15,329.0,0.0,94665.54,327.0,0.0,83060.32,320.0,0.0,80448.22,285.0,0.0,69139.64,285.0,0.0,70271.0
1003819301,1675.0,,,1715.0,,,1609.0,,,1685.0,,,1675.0,,,1773.0,,,1674.0,,
1003819863,1805.0,237127.9,422405.82,1731.0,166513.05,362377.07,1627.0,181977.95,359212.92,1154.0,145037.42,185824.32,681.0,63278.03,109999.23,505.0,42115.47,87515.71,488.0,43460.55,80742.53
1003820358,623.0,0.0,200623.83,640.0,0.0,156183.75,615.0,0.0,119938.57,400.0,0.0,100453.07,512.0,0.0,150140.6,567.0,0.0,181212.2,544.0,0.0,160913.65
1003827056,411.0,0.0,140047.26,406.0,,,431.0,,,454.0,0.0,152997.64,476.0,0.0,146929.49,498.0,0.0,166368.69,490.0,0.0,153857.34
1003836370,,,,,,,,,,,,,,,,231.0,0.0,23657.84,,,
1003837766,437.0,0.0,146626.95,438.0,0.0,121188.9,389.0,0.0,109018.49,444.0,0.0,155726.7,431.0,0.0,147256.56,441.0,0.0,129776.24,402.0,0.0,141061.34
1003837840,1534.0,0.0,513283.53,1373.0,0.0,429940.46,1309.0,0.0,431059.75,1247.0,1519.59,420942.54,1183.0,2123.13,385969.12,1145.0,1634.15,354685.4,1001.0,2924.93,291164.61
1003838012,1472.0,0.0,811686.16,1542.0,0.0,760123.94,1642.0,0.0,792743.87,1667.0,0.0,752930.15,1685.0,0.0,711603.78,1696.0,0.0,678446.34,1711.0,0.0,662312.24
1003838392,1019.0,0.0,240594.37,1039.0,0.0,264469.87,983.0,0.0,223391.31,939.0,0.0,198363.27,946.0,0.0,223945.66,866.0,0.0,183945.42,860.0,0.0,181688.48
1003851809,192.0,,,192.0,,,200.0,0.0,84228.4,192.0,,,196.0,,,192.0,0.0,59134.67,140.0,0.0,26385.99
1003861576,1311.0,1182648.21,950729.24,1314.0,1630370.79,772590.77,1340.0,686828.49,850258.05,1334.0,651851.1,965882.09,1419.0,805329.33,918271.74,1383.0,1448063.28,926026.08,1583.0,1584729.2,1089817.3
1003864059,817.0,0.0,232651.89,761.0,0.0,186497.6,860.0,,,867.0,0.0,231078.04,864.0,0.0,226246.75,780.0,0.0,193349.71,767.0,0.0,185678.15
1003868415,220.0,0.0,42034.6,17.0,0.0,536.63,,,,,,,,,,,,,,,
1003877564,130.0,,,148.0,,,148.0,8689.23,52407.36,140.0,,,142.0,,,130.0,,,41.0,,
1003880261,1008.0,0.0,275895.78,962.0,0.0,236234.8,949.0,0.0,216553.57,951.0,0.0,248620.52,949.0,0.0,232558.3,881.0,0.0,220057.97,851.0,0.0,205830.62
1003889247,182.0,0.0,75124.82,199.0,,,196.0,0.0,59304.52,208.0,,,215.0,,,240.0,,,224.0,,
1003920372,590.0,0.0,212278.55,566.0,0.0,212413.92,572.0,0.0,209239.38,559.0,0.0,216832.54,519.0,0.0,245098.89,503.0,0.0,217579.5,518.0,0.0,231547.3
1003921446,341.0,0.0,131434.65,360.0,0.0,131299.84,388.0,0.0,122181.05,320.0,0.0,57574.04,,,,,,,,,
1003922691,567.0,0.0,317031.5,293.0,0.0,163935.05,238.0,0.0,149096.9,270.0,0.0,141347.76,280.0,0.0,138588.64,223.0,0.0,118148.46,234.0,0.0,102100.02
1003925751,434.0,0.0,49358.86,376.0,0.0,49736.03,361.0,0.0,45020.25,351.0,0.0,41439.7,353.0,0.0,45543.5,317.0,0.0,37372.71,327.0,0.0,38761.69
1013010685,2070.0,,,1168.0,,,2660.0,,,3119.0,,,3303.0,0.0,574228.77,3367.0,,,3548.0,,
1013020817,72.0,0.0,26910.06,68.0,0.0,25322.5,55.0,0.0,14376.09,54.0,0.0,17737.61,,,,,,,,,
1013041680,39.0,0.0,2823.42,29.0,0.0,2668.94,25.0,0.0,2599.87,20.0,0.0,1730.63,18.0,0.0,1677.16,,,,,,
1013042266,71.0,0.0,47110.59,64.0,0.0,42263.08,32.0,0.0,17664.55,,,,,,,,,,,,
1013063437,701.0,0.0,330922.28,684.0,0.0,361435.88,660.0,,,599.0,0.0,305844.64,545.0,0.0,248649.94,495.0,0.0,243353.62,470.0,0.0,323890.35
1013065184,275.0,536.32,277775.51,250.0,3123.43,227044.33,252.0,512.9,250652.23,248.0,54.02,231453.32,233.0,,,230.0,,,220.0,,
1013078427,1459.0,0.0,435496.17,1527.0,0.0,429675.74,1618.0,0.0,480716.39,1644.0,0.0,449063.66,1645.0,0.0,391668.43,1398.0,0.0,329999.04,1380.0,0.0,329878.67
1013095884,15.0,0.0,1459.86,21.0,0.0,1876.15,17.0,0.0,1515.55,14.0,0.0,1463.58,,,,,,,50.0,0.0,3229.79
1013123595,301.0,122244.21,130235.38,300.0,325993.27,132011.4,241.0,193722.52,78205.63,492.0,341095.97,291235.17,627.0,1209131.74,342821.76,674.0,2289606.32,354951.61,668.0,3116058.63,382955.03
1013145127,,,,27.0,0.0,2560.9,435.0,,,737.0,,,710.0,0.0,196874.45,857.0,0.0,241839.62,847.0,0.0,259600.11
1013195841,,,,,,,41.0,,,37.0,0.0,16589.63,55.0,0.0,24440.79,154.0,0.0,56105.61,134.0,0.0,47871.59
1013216860,,,,,,,,,,,,,78.0,0.0,9000.88,,,,,,
1013278118,,,,,,,,,,,,,93.0,0.0,9165.95,104.0,0.0,10952.93,55.0,0.0,5123.18
1013900182,1377.0,,,1444.0,,,1546.0,,,1673.0,,,1437.0,,,1567.0,,,1739.0,,
1013902618,492.0,0.0,142247.45,472.0,0.0,119840.35,443.0,0.0,110335.58,386.0,0.0,94717.33,346.0,0.0,87573.5,311.0,0.0,73207.09,198.0,0.0,35194.21
