National Provider Identifier,Last Name/Organization Name of the Provider,First Name of the Provider,Middle Initial of the Provider,Credentials of the Provider,Gender of the Provider,Entity Type of the Provider,Street Address 1 of the Provider,Street Address 2 of the Provider,City of the Provider,Zip Code of the Provider,State Code of the Provider,Fraud,0191T,0474T,10060,11000,11100,11440,11441,11642,11900,13160,14000,14020,14040,14060,14061,142,15004,15260,15576,15732,15740,15822,15823,20610,21930,29126,30130,30300,31000,31205,31231,36410,36415,37609,64612,65205,65210,65220,65222,65400,65420,65426,65430,65435,65600,65710,65730,65755,65756,65757,65772,65778,65780,65782,65800,65820,65850,65855,65860,65870,65875,65930,66020,66030,66150,66170,66172,66174,66175,66179,66180,66183,66185,66225,66250,66505,66625,66680,66682,66710,66711,66761,66762,66770,66820,66821,66825,66830,66852,66982,66983,66984,66986,66990,67010,67015,67025,67028,67031,67036,67039,67040,67041,67042,67043,67105,67108,67110,67113,67121,67141,67145,67208,67210,67218,67220,67221,67228,67255,67311,67312,67314,67331,67332,67335,67500,67515,67700,67800,67801,67805,67810,67820,67825,67840,67850,67875,67880,67882,67900,67903,67904,67908,67911,67914,67916,67917,67921,67924,67935,67938,67950,67961,67966,67971,67974,68020,68040,68110,68115,68135,68200,68320,68326,68335,68340,68440,68530,68700,68705,68720,68760,68761,68801,68810,68815,68840,69210,69220,71020,71100,73030,73110,73130,73140,73502,73564,73610,73630,76510,76511,76512,76513,76514,76516,76519,76700,78660,80061,81002,81003,82043,82947,82962,83036,83037,83516,83861,84443,85018,86318,86580,87502,87804,87809,88300,88304,88305,88313,90471,90656,90674,90714,90732,92002,92004,92012,92014,92020,92025,92060,92071,92081,92082,92083,92100,92132,92133,92134,92136,92225,92226,92227,92230,92235,92240,92242,92250,92275,92283,92284,92285,92286,92287,92499,92504,92550,93000,93010,93224,93880,93886,93922,93923,93924,93925,93970,94060,94640,94664,94750,95004,95060,95816,95819,95926,95930,96116,96372,96374,96405,96406,97140,97165,97535,97597,99201,99202,99203,99204,99205,99211,99212,99213,99214,99215,99221,99222,99223,99231,99232,99233,99234,99283,99284,99291,99304,99305,99306,99307,99308,99309,99310,99327,99328,99335,99336,99348,99349,99354,99355,99356,99406,99490,99495,99496,G0008,G0009,G0179,G0180,G0438,G0439,G0444,G0446,G0447,G0506,J0178,J0585,J0586,J0588,J0696,J0713,J1030,J1100,J1885,J2001,J2778,J2930,J3010,J3300,J3301,J3370,J3396,J3410,J3420,J3470,J3471,J3490,J3590,J7312,J7313,J7611,J7999,J9035,J9190,J9280,Q2037
1003015504,SAWUSCH,MARK,R,M.D.,M,I,910 VIA DE LA PAZ STE 208,,PACIFIC PALISADES,902723592,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003056516,KHEMICHIAN,ARBI,,MD,M,I,21320 HAWTHORNE BLVD. #104,,TORRANCE,90503,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,55,245,,,,,,,79,,,72,28,69,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,51,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003072786,ALASIL,TAREK,,MD,M,I,100 E CALIFORNIA BLVD,,PASADENA,911053205,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,19,,,,,,,,,,,50,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,
1003101874,KIM,GRACE,L,MD,F,I,850 HEALTH SCIENCES RD,,IRVINE,926974375,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,17,212,58,,,,,,49,,,40,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003808494,CHANG,ANDREW,,M.D.,M,I,18350 ROSCOE BLVD,SUITE 101,NORTHRIDGE,913254109,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,23,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,139,722,,,,,,,64,,,87,126,108,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003816141,ATMAJIAN,TIMOTHY,K,MD,M,I,3030 N FRESNO ST,SUITE 101,FRESNO,937031124,CA,1,,,,38,,,,,,,,,,,,,,,,,,,,77,,,,,52,,,,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,1192,,738,119,1182,437,,503,,,512,726,493,17,244,26,,,,,,,,57,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,48,,,213,,,,,142,164,62,,,,,,120,,489,512,,,,,,,,,,,111,16,232,97,1604,981,121,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,68,132,294,67,25,16,37,234,82,133,49,292,,,,,144,,119,740,1140,,,,,,,,,30,36,,,,,,,,,,,,238
1003817776,WANG,JENNIFER,P,MD,F,I,525 SOUTH DRIVE,SUITE 219,MOUNTAIN VIEW,94040,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,200,,,,,,,59,,,57,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,163,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003819301,POULSEN,ERIC,J,M.D.,M,I,1360 E HERNDON AVE,STE 201,FRESNO,937203326,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,37,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,876,836,,19,,,20,,95,,,82,23,427,,,,,,,,268,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,440,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003819863,SHEPARD,DANIEL,P,M.D.,M,I,910 E STOWELL RD,,SANTA MARIA,934547001,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,311,92,,,,,,,,,,,416,,,,,,33,,,64,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,
